Time;Color_p3_01;Color_p3_02;Color_p3_03;Color_p3_04;Color_p3_05;Color_p3_06;Color_p3_07;Color_p3_08;Color_p3_09;Color_p3_10;Color_p3_11
0.00;2;2;3;3;4;5;6;8;12;20;35
0.10;2;2;3;3;4;5;6;8;12;20;35
0.20;2;2;3;3;4;4;5;7;12;20;35
0.30;2;3;3;3;4;4;5;7;12;20;36
0.40;2;3;3;3;3;5;5;8;12;20;36
0.50;2;3;3;3;3;5;5;8;12;19;37
0.60;2;2;3;3;4;4;6;8;12;20;36
0.70;2;2;3;3;4;5;6;8;12;20;36
0.80;2;3;3;3;3;4;5;7;12;20;35
0.90;2;3;3;3;4;5;6;8;12;19;36
1.00;2;2;3;3;3;4;5;7;12;19;35
1.10;2;2;3;3;4;4;6;8;13;19;36
1.20;2;3;3;3;4;4;5;7;13;19;35
1.30;2;2;3;3;4;4;6;7;13;19;36
1.40;2;2;3;3;3;4;6;8;12;19;36
1.50;2;2;3;3;3;4;6;7;12;20;36
1.60;2;3;3;3;3;4;5;8;12;19;36
1.70;2;3;3;3;4;4;5;8;12;19;37
1.80;2;2;3;3;4;4;6;7;12;20;36
1.90;2;2;3;3;3;5;6;8;13;20;36
2.00;2;2;3;3;4;5;6;7;12;20;36
2.10;2;2;3;3;4;5;6;7;12;19;36
2.20;2;3;3;3;4;5;6;7;12;19;37
2.30;2;3;3;3;3;4;5;7;13;19;37
2.40;2;3;3;3;3;5;6;8;12;19;36
2.50;2;3;3;3;4;4;5;7;13;20;36
2.60;2;3;3;3;4;4;6;8;12;19;36
2.70;2;2;3;3;4;4;5;7;12;19;36
2.80;2;3;3;3;3;4;5;7;12;20;37
2.90;2;3;3;3;3;4;6;7;12;19;35
3.00;2;2;3;3;4;5;5;8;12;19;37
3.10;2;2;3;3;4;4;5;8;12;19;36
3.20;2;2;3;3;4;4;5;7;12;19;36
3.30;2;3;3;3;4;4;6;8;12;19;36
3.40;2;2;3;3;4;4;6;8;13;19;36
3.50;2;2;3;3;3;4;5;8;12;19;37
3.60;2;2;3;3;4;4;6;8;12;20;35
3.70;2;3;3;4;4;5;5;9;12;20;37
3.80;2;3;3;3;3;4;6;9;12;20;35
3.90;2;3;3;3;4;4;6;8;13;19;36
4.00;2;2;3;3;3;4;6;8;13;20;37
4.10;2;2;3;3;4;4;5;9;12;20;36
4.20;2;3;3;3;4;5;6;8;12;20;35
4.30;2;3;3;3;4;4;6;8;12;20;36
4.40;2;3;3;3;4;4;6;9;12;19;36
4.50;2;2;3;3;3;4;6;9;12;19;37
4.60;2;3;3;3;3;5;5;8;12;20;36
4.70;2;2;3;3;3;5;5;9;12;19;35
4.80;2;2;3;4;4;4;5;9;12;19;36
4.90;2;2;3;3;4;5;6;8;12;20;37
5.00;2;3;3;3;3;4;5;8;12;19;36
5.10;2;2;3;3;3;5;6;9;12;20;35
5.20;2;2;3;3;4;4;5;9;12;19;37
5.30;2;3;3;3;4;4;6;8;13;19;35
5.40;2;2;3;3;4;4;5;8;12;20;35
5.50;2;3;3;3;4;5;6;8;12;19;36
5.60;2;2;3;3;4;4;5;8;12;20;36
5.70;2;2;3;3;4;4;6;8;12;20;36
5.80;2;3;3;3;3;4;6;8;13;20;36
5.90;2;3;3;3;3;4;5;8;12;20;36
6.00;2;2;3;3;4;4;5;8;13;19;36
6.10;2;2;3;3;3;4;6;9;12;20;36
6.20;2;3;3;4;3;4;6;8;13;20;36
6.30;2;3;3;3;4;4;6;7;13;20;36
6.40;2;2;3;3;4;4;6;8;13;20;36
6.50;2;3;3;3;3;4;6;8;12;19;35
6.60;2;3;3;3;3;4;6;7;13;19;37
6.70;2;3;3;3;3;4;6;8;13;20;35
6.80;2;3;3;3;4;4;6;8;12;20;37
6.90;2;3;3;3;4;4;6;8;13;19;36
7.00;2;3;3;3;4;4;5;7;12;19;37
7.10;2;3;3;3;4;4;5;7;13;19;35
7.20;2;3;3;3;3;4;5;8;12;20;36
7.30;2;2;3;3;4;4;6;8;13;19;36
7.40;2;2;3;3;4;4;6;8;13;19;37
7.50;2;3;3;3;4;4;6;7;13;20;36
7.60;2;2;3;3;4;4;6;7;13;20;36
7.70;2;3;3;3;4;4;6;7;13;19;36
7.80;2;2;3;3;3;4;5;8;12;19;35
7.90;2;3;3;3;4;4;6;7;12;20;37
8.00;2;2;3;3;4;4;5;7;12;20;36
8.10;2;3;3;3;3;4;6;7;12;19;36
8.20;2;2;3;3;4;4;5;7;12;19;35
8.30;2;3;3;4;3;4;5;7;12;19;36
8.40;2;3;3;3;3;4;6;7;12;20;37
8.50;2;3;3;3;3;4;5;7;12;19;36
8.60;2;2;3;3;4;4;6;8;13;19;35
8.70;2;3;3;3;3;4;5;8;13;19;37
8.80;2;3;3;3;4;4;6;8;12;19;36
8.90;2;3;3;3;4;4;6;7;12;20;37
9.00;2;2;3;3;3;4;6;7;12;20;36
9.10;2;3;3;3;3;4;6;7;13;19;37
9.20;2;3;3;3;3;4;5;8;13;20;36
9.30;2;2;3;3;4;4;6;7;13;20;36
9.40;2;2;3;3;4;4;5;7;13;20;36
9.50;2;2;3;3;4;4;6;7;12;19;37
9.60;2;3;3;3;4;4;5;8;13;19;36
9.70;2;3;3;3;3;4;6;8;12;20;37
9.80;2;3;3;3;3;4;5;8;13;19;37
9.90;2;2;3;3;4;4;5;7;13;20;37
10.00;2;2;3;3;4;4;6;7;12;19;36
