Time;Ultrasónico_p4_01;Ultrasónico_p4_02;Ultrasónico_p4_03;Ultrasónico_p4_04;Ultrasónico_p4_05;Ultrasónico_p4_06;Ultrasónico_p4_07;Ultrasónico_p4_08;Ultrasónico_p4_09;Ultrasónico_p4_10
0,000;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
0,100;21,100;41,000;60,900;80,400;100,800;120,800;151,100;182,500;212,200;242,700;
0,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
0,300;21,200;41,000;61,400;80,400;100,800;120,800;151,100;182,500;212,400;242,700;
0,400;21,200;41,000;60,900;80,400;100,700;120,800;151,100;182,500;212,400;242,700;
0,500;21,100;41,000;61,800;80,400;100,800;120,800;151,100;182,100;212,400;242,600;
0,600;21,100;41,000;60,900;80,400;100,800;120,800;151,100;182,100;212,400;242,700;
0,700;21,100;41,000;60,900;80,400;100,700;121,000;151,100;182,100;212,400;242,000;
0,800;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
0,900;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
1,000;21,100;41,000;60,900;80,800;100,700;120,800;151,200;182,100;212,300;242,700;
1,100;21,100;41,000;60,900;80,400;100,800;120,800;151,100;182,100;213,000;242,700;
1,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
1,300;21,100;41,000;60,900;80,400;100,800;120,800;150,300;182,100;212,400;242,700;
1,400;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
1,500;21,100;41,000;61,400;80,400;100,800;121,000;151,100;182,100;212,400;242,700;
1,600;21,100;40,300;60,900;80,400;100,700;121,000;151,100;182,100;213,100;242,700;
1,700;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,700;242,700;
1,800;21,100;40,600;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
1,900;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,500;212,400;242,700;
2,000;21,100;40,300;60,900;80,400;100,800;120,800;151,100;182,100;212,400;242,700;
2,100;21,100;40,300;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
2,200;21,100;40,100;60,900;80,400;100,700;120,800;151,100;182,100;212,300;242,000;
2,300;21,100;40,300;60,900;80,800;100,700;120,800;151,100;182,100;212,400;242,700;
